,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score,impuType,dataset
0,MIBNI,{BASC A},0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
1,MIBNI,{K-Means},0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
2,MIBNI,{Onestep},0.5416666666666667,0.7,0.7,1.0,0.8235294117647058,missforestMetrics,P53-MDM2
3,MIBNI,"{BASC A, K-Means}",0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
4,MIBNI,"{BASC A, Onestep}",0.8333333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
5,MIBNI,"{K-Means, Onestep}",0.5416666666666667,0.7,0.7,1.0,0.8235294117647058,missforestMetrics,P53-MDM2
6,MIBNI,"{BASC A, K-Means, Onestep}",0.5416666666666667,0.7,0.7,1.0,0.8235294117647058,missforestMetrics,P53-MDM2
7,LogicGep,{BASC A},0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154,missforestMetrics,P53-MDM2
8,LogicGep,{K-Means},0.5416666666666666,0.6,0.6666666666666666,0.8571428571428571,0.75,missforestMetrics,P53-MDM2
9,LogicGep,{Onestep},0.7916666666666667,0.5,0.75,0.4285714285714285,0.5454545454545454,missforestMetrics,P53-MDM2
10,LogicGep,"{BASC A, K-Means}",0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154,missforestMetrics,P53-MDM2
11,LogicGep,"{BASC A, Onestep}",0.8333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6153846153846154,missforestMetrics,P53-MDM2
12,LogicGep,"{K-Means, Onestep}",0.7916666666666667,0.5,0.75,0.4285714285714285,0.5454545454545454,missforestMetrics,P53-MDM2
13,LogicGep,"{BASC A, K-Means, Onestep}",0.7916666666666667,0.5,0.75,0.4285714285714285,0.5454545454545454,missforestMetrics,P53-MDM2
14,Bestfit,{BASC A},0.625,0.6,0.8,0.5714285714285714,0.6666666666666666,missforestMetrics,P53-MDM2
15,Bestfit,{K-Means},0.5,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,missforestMetrics,P53-MDM2
16,Bestfit,{Onestep},,0.4,0.6666666666666666,0.2857142857142857,0.4,missforestMetrics,P53-MDM2
17,Bestfit,"{BASC A, K-Means}",0.625,0.6,0.8,0.5714285714285714,0.6666666666666666,missforestMetrics,P53-MDM2
18,Bestfit,"{BASC A, Onestep}",0.625,0.6,0.8,0.5714285714285714,0.6666666666666666,missforestMetrics,P53-MDM2
19,Bestfit,"{K-Means, Onestep}",,0.4,0.6666666666666666,0.2857142857142857,0.4,missforestMetrics,P53-MDM2
20,Bestfit,"{BASC A, K-Means, Onestep}",,0.4,0.6666666666666666,0.2857142857142857,0.4,missforestMetrics,P53-MDM2
0,MIBNI,{BASC A},0.375,0.6,0.6666666666666666,0.8571428571428571,0.75,probsMetrics,P53-MDM2
1,MIBNI,{K-Means},0.75,0.7,0.7,1.0,0.8235294117647058,probsMetrics,P53-MDM2
2,MIBNI,{Onestep},0.375,0.6,0.6666666666666666,0.8571428571428571,0.75,probsMetrics,P53-MDM2
3,MIBNI,"{BASC A, K-Means}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75,probsMetrics,P53-MDM2
4,MIBNI,"{BASC A, Onestep}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75,probsMetrics,P53-MDM2
5,MIBNI,"{K-Means, Onestep}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75,probsMetrics,P53-MDM2
6,MIBNI,"{BASC A, K-Means, Onestep}",0.375,0.6,0.6666666666666666,0.8571428571428571,0.75,probsMetrics,P53-MDM2
7,LogicGep,{BASC A},0.7916666666666667,0.4,0.6,0.4285714285714285,0.5,probsMetrics,P53-MDM2
8,LogicGep,{K-Means},0.375,0.8,1.0,0.7142857142857143,0.8333333333333334,probsMetrics,P53-MDM2
9,LogicGep,{Onestep},0.7916666666666667,0.4,0.6,0.4285714285714285,0.5,probsMetrics,P53-MDM2
10,LogicGep,"{BASC A, K-Means}",0.7916666666666667,0.4,0.6,0.4285714285714285,0.5,probsMetrics,P53-MDM2
11,LogicGep,"{BASC A, Onestep}",0.7916666666666667,0.4,0.6,0.4285714285714285,0.5,probsMetrics,P53-MDM2
12,LogicGep,"{K-Means, Onestep}",0.7916666666666667,0.4,0.6,0.4285714285714285,0.5,probsMetrics,P53-MDM2
13,LogicGep,"{BASC A, K-Means, Onestep}",0.7916666666666667,0.4,0.6,0.4285714285714285,0.5,probsMetrics,P53-MDM2
14,Bestfit,{BASC A},,0.3,0.5,0.1428571428571428,0.2222222222222222,probsMetrics,P53-MDM2
15,Bestfit,{K-Means},,0.4,0.6666666666666666,0.2857142857142857,0.4,probsMetrics,P53-MDM2
16,Bestfit,{Onestep},,0.3,0.5,0.1428571428571428,0.2222222222222222,probsMetrics,P53-MDM2
17,Bestfit,"{BASC A, K-Means}",,0.3,0.5,0.1428571428571428,0.2222222222222222,probsMetrics,P53-MDM2
18,Bestfit,"{BASC A, Onestep}",,0.3,0.5,0.1428571428571428,0.2222222222222222,probsMetrics,P53-MDM2
19,Bestfit,"{K-Means, Onestep}",,0.3,0.5,0.1428571428571428,0.2222222222222222,probsMetrics,P53-MDM2
20,Bestfit,"{BASC A, K-Means, Onestep}",,0.3,0.5,0.1428571428571428,0.2222222222222222,probsMetrics,P53-MDM2
0,MIBNI,{BASC A},0.8194444444444444,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,missforestMetrics,ecoli_data
1,MIBNI,{K-Means},0.7951388888888888,0.2857142857142857,0.25,1.0,0.4,missforestMetrics,ecoli_data
2,MIBNI,{Onestep},0.78125,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,missforestMetrics,ecoli_data
3,MIBNI,"{BASC A, K-Means}",0.8194444444444444,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,missforestMetrics,ecoli_data
4,MIBNI,"{BASC A, Onestep}",0.7881944444444444,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,missforestMetrics,ecoli_data
5,MIBNI,"{K-Means, Onestep}",0.78125,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,missforestMetrics,ecoli_data
6,MIBNI,"{BASC A, K-Means, Onestep}",0.7847222222222222,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,missforestMetrics,ecoli_data
7,LogicGep,{BASC A},0.298611111111111,0.7619047619047619,0.5,0.8,0.6153846153846154,missforestMetrics,ecoli_data
8,LogicGep,{K-Means},0.2291666666666666,0.6190476190476191,0.3333333333333333,0.6,0.4285714285714285,missforestMetrics,ecoli_data
9,LogicGep,{Onestep},0.2222222222222222,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333,missforestMetrics,ecoli_data
10,LogicGep,"{BASC A, K-Means}",0.298611111111111,0.7619047619047619,0.5,0.8,0.6153846153846154,missforestMetrics,ecoli_data
11,LogicGep,"{BASC A, Onestep}",0.2152777777777776,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333,missforestMetrics,ecoli_data
12,LogicGep,"{K-Means, Onestep}",0.2222222222222222,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333,missforestMetrics,ecoli_data
13,LogicGep,"{BASC A, K-Means, Onestep}",0.2916666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3636363636363636,missforestMetrics,ecoli_data
14,Bestfit,{BASC A},0.21875,0.4285714285714285,0.1111111111111111,0.2,0.1428571428571428,missforestMetrics,ecoli_data
15,Bestfit,{K-Means},0.2291666666666666,0.6666666666666666,0.375,0.6,0.4615384615384615,missforestMetrics,ecoli_data
16,Bestfit,{Onestep},0.1979166666666666,0.6666666666666666,0.375,0.6,0.4615384615384615,missforestMetrics,ecoli_data
17,Bestfit,"{BASC A, K-Means}",0.21875,0.4285714285714285,0.1111111111111111,0.2,0.1428571428571428,missforestMetrics,ecoli_data
18,Bestfit,"{BASC A, Onestep}",0.1909722222222222,0.6666666666666666,0.375,0.6,0.4615384615384615,missforestMetrics,ecoli_data
19,Bestfit,"{K-Means, Onestep}",0.1979166666666666,0.6666666666666666,0.375,0.6,0.4615384615384615,missforestMetrics,ecoli_data
20,Bestfit,"{BASC A, K-Means, Onestep}",0.2916666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3636363636363636,missforestMetrics,ecoli_data
0,MIBNI,{BASC A},0.7916666666666666,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,probsMetrics,ecoli_data
1,MIBNI,{K-Means},0.7847222222222222,0.2857142857142857,0.25,1.0,0.4,probsMetrics,ecoli_data
2,MIBNI,{Onestep},0.78125,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,probsMetrics,ecoli_data
3,MIBNI,"{BASC A, K-Means}",0.7916666666666666,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,probsMetrics,ecoli_data
4,MIBNI,"{BASC A, Onestep}",0.7881944444444444,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,probsMetrics,ecoli_data
5,MIBNI,"{K-Means, Onestep}",0.78125,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,probsMetrics,ecoli_data
6,MIBNI,"{BASC A, K-Means, Onestep}",0.7847222222222222,0.238095238095238,0.238095238095238,1.0,0.3846153846153846,probsMetrics,ecoli_data
7,LogicGep,{BASC A},0.2916666666666666,0.7619047619047619,0.5,0.6,0.5454545454545454,probsMetrics,ecoli_data
8,LogicGep,{K-Means},0.2222222222222222,0.5714285714285714,0.25,0.4,0.3076923076923077,probsMetrics,ecoli_data
9,LogicGep,{Onestep},0.2222222222222222,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333,probsMetrics,ecoli_data
10,LogicGep,"{BASC A, K-Means}",0.2916666666666666,0.7619047619047619,0.5,0.6,0.5454545454545454,probsMetrics,ecoli_data
11,LogicGep,"{BASC A, Onestep}",0.2152777777777776,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333,probsMetrics,ecoli_data
12,LogicGep,"{K-Means, Onestep}",0.2222222222222222,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333,probsMetrics,ecoli_data
13,LogicGep,"{BASC A, K-Means, Onestep}",0.2916666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3636363636363636,probsMetrics,ecoli_data
14,Bestfit,{BASC A},0.2916666666666666,0.5714285714285714,0.1666666666666666,0.2,0.1818181818181818,probsMetrics,ecoli_data
15,Bestfit,{K-Means},0.2222222222222222,0.6666666666666666,0.375,0.6,0.4615384615384615,probsMetrics,ecoli_data
16,Bestfit,{Onestep},0.1979166666666666,0.6666666666666666,0.375,0.6,0.4615384615384615,probsMetrics,ecoli_data
17,Bestfit,"{BASC A, K-Means}",0.2916666666666666,0.5714285714285714,0.1666666666666666,0.2,0.1818181818181818,probsMetrics,ecoli_data
18,Bestfit,"{BASC A, Onestep}",0.1909722222222222,0.6666666666666666,0.375,0.6,0.4615384615384615,probsMetrics,ecoli_data
19,Bestfit,"{K-Means, Onestep}",0.1979166666666666,0.6666666666666666,0.375,0.6,0.4615384615384615,probsMetrics,ecoli_data
20,Bestfit,"{BASC A, K-Means, Onestep}",0.2916666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3636363636363636,probsMetrics,ecoli_data
0,MIBNI,{BASC A},0.6153846153846154,0.4666666666666667,0.4,0.6666666666666666,0.5,missforestMetrics,yeast_cell
1,MIBNI,{K-Means},0.717948717948718,0.4,0.4,1.0,0.5714285714285714,missforestMetrics,yeast_cell
2,MIBNI,{Onestep},0.6239316239316239,0.4666666666666667,0.4210526315789473,0.8888888888888888,0.5714285714285714,missforestMetrics,yeast_cell
3,MIBNI,"{BASC A, K-Means}",0.6153846153846154,0.4666666666666667,0.4,0.6666666666666666,0.5,missforestMetrics,yeast_cell
4,MIBNI,"{BASC A, Onestep}",0.7264957264957266,0.4666666666666667,0.4,0.6666666666666666,0.5,missforestMetrics,yeast_cell
5,MIBNI,"{K-Means, Onestep}",0.6239316239316239,0.4666666666666667,0.4210526315789473,0.8888888888888888,0.5714285714285714,missforestMetrics,yeast_cell
6,MIBNI,"{BASC A, K-Means, Onestep}",0.6068376068376068,0.4666666666666667,0.4210526315789473,0.8888888888888888,0.5714285714285714,missforestMetrics,yeast_cell
7,LogicGep,{BASC A},0.8376068376068376,0.3777777777777777,0.25,0.2777777777777778,0.2631578947368421,missforestMetrics,yeast_cell
8,LogicGep,{K-Means},0.6581196581196581,0.4444444444444444,0.2666666666666666,0.2222222222222222,0.2424242424242424,missforestMetrics,yeast_cell
9,LogicGep,{Onestep},0.8376068376068376,0.5111111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889,missforestMetrics,yeast_cell
10,LogicGep,"{BASC A, K-Means}",0.8376068376068376,0.3777777777777777,0.25,0.2777777777777778,0.2631578947368421,missforestMetrics,yeast_cell
11,LogicGep,"{BASC A, Onestep}",0.8376068376068376,0.4444444444444444,0.3478260869565217,0.4444444444444444,0.3902439024390244,missforestMetrics,yeast_cell
12,LogicGep,"{K-Means, Onestep}",0.8376068376068376,0.5111111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889,missforestMetrics,yeast_cell
13,LogicGep,"{BASC A, K-Means, Onestep}",0.8205128205128205,0.4,0.2,0.1666666666666666,0.1818181818181818,missforestMetrics,yeast_cell
14,Bestfit,{BASC A},,0.5555555555555556,0.4,0.2222222222222222,0.2857142857142857,missforestMetrics,yeast_cell
15,Bestfit,{K-Means},0.46153846153846145,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,missforestMetrics,yeast_cell
16,Bestfit,{Onestep},,0.4888888888888889,0.3333333333333333,0.2777777777777778,0.303030303030303,missforestMetrics,yeast_cell
17,Bestfit,"{BASC A, K-Means}",,0.5555555555555556,0.4,0.2222222222222222,0.2857142857142857,missforestMetrics,yeast_cell
18,Bestfit,"{BASC A, Onestep}",,0.5333333333333333,0.3333333333333333,0.1666666666666666,0.2222222222222222,missforestMetrics,yeast_cell
19,Bestfit,"{K-Means, Onestep}",,0.4888888888888889,0.3333333333333333,0.2777777777777778,0.303030303030303,missforestMetrics,yeast_cell
20,Bestfit,"{BASC A, K-Means, Onestep}",,0.5111111111111111,0.375,0.3333333333333333,0.3529411764705882,missforestMetrics,yeast_cell
0,MIBNI,{BASC A},0.7777777777777778,0.4888888888888889,0.4358974358974359,0.9444444444444444,0.5964912280701754,probsMetrics,yeast_cell
1,MIBNI,{K-Means},0.7179487179487178,0.4,0.4,1.0,0.5714285714285714,probsMetrics,yeast_cell
2,MIBNI,{Onestep},0.7692307692307692,0.4,0.3953488372093023,0.9444444444444444,0.5573770491803278,probsMetrics,yeast_cell
3,MIBNI,"{BASC A, K-Means}",0.7777777777777778,0.4888888888888889,0.4358974358974359,0.9444444444444444,0.5964912280701754,probsMetrics,yeast_cell
4,MIBNI,"{BASC A, Onestep}",0.8034188034188035,0.4,0.3846153846153846,0.8333333333333334,0.5263157894736842,probsMetrics,yeast_cell
5,MIBNI,"{K-Means, Onestep}",0.7692307692307692,0.4,0.3953488372093023,0.9444444444444444,0.5573770491803278,probsMetrics,yeast_cell
6,MIBNI,"{BASC A, K-Means, Onestep}",0.7521367521367521,0.4222222222222222,0.4047619047619047,0.9444444444444444,0.5666666666666667,probsMetrics,yeast_cell
7,LogicGep,{BASC A},0.7692307692307692,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,probsMetrics,yeast_cell
8,LogicGep,{K-Means},0.6923076923076923,0.5555555555555556,0.4166666666666667,0.2777777777777778,0.3333333333333333,probsMetrics,yeast_cell
9,LogicGep,{Onestep},0.7692307692307692,0.6444444444444445,0.5833333333333334,0.3888888888888889,0.4666666666666667,probsMetrics,yeast_cell
10,LogicGep,"{BASC A, K-Means}",0.7692307692307692,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,probsMetrics,yeast_cell
11,LogicGep,"{BASC A, Onestep}",0.7948717948717948,0.5555555555555556,0.45,0.5,0.4736842105263157,probsMetrics,yeast_cell
12,LogicGep,"{K-Means, Onestep}",0.7692307692307692,0.6444444444444445,0.5833333333333334,0.3888888888888889,0.4666666666666667,probsMetrics,yeast_cell
13,LogicGep,"{BASC A, K-Means, Onestep}",0.7350427350427351,0.6,0.5,0.3333333333333333,0.4,probsMetrics,yeast_cell
14,Bestfit,{BASC A},0.7094017094017093,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,probsMetrics,yeast_cell
15,Bestfit,{K-Means},0.4786324786324786,0.4222222222222222,0.2777777777777778,0.2777777777777778,0.2777777777777778,probsMetrics,yeast_cell
16,Bestfit,{Onestep},0.6495726495726495,0.4666666666666667,0.2857142857142857,0.2222222222222222,0.25,probsMetrics,yeast_cell
17,Bestfit,"{BASC A, K-Means}",0.7094017094017093,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,probsMetrics,yeast_cell
18,Bestfit,"{BASC A, Onestep}",0.7350427350427351,0.4888888888888889,0.3076923076923077,0.2222222222222222,0.2580645161290322,probsMetrics,yeast_cell
19,Bestfit,"{K-Means, Onestep}",0.6495726495726495,0.4666666666666667,0.2857142857142857,0.2222222222222222,0.25,probsMetrics,yeast_cell
20,Bestfit,"{BASC A, K-Means, Onestep}",0.5128205128205128,0.5111111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889,probsMetrics,yeast_cell
